artist_name,spotify_id,genres,popularity_score,followers_count,spotify_profile_url,image_url
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,"british invasion, classic rock, merseybeat, psychedelic rock, rock",83,26579642,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433
Beatless,4rH6ZqyKeYKNrPGWM9xK7e,,1,186,https://open.spotify.com/artist/4rH6ZqyKeYKNrPGWM9xK7e,https://i.scdn.co/image/ab67616d0000b273218e076d365a0772859659d5
Taylor Swift,06HL4z0CvFAxyc27GXpf02,pop,100,92955929,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
The Beatles Complete On Ukulele,5o723EMxNulM5ydXRh7Qkk,,14,2237,https://open.spotify.com/artist/5o723EMxNulM5ydXRh7Qkk,https://i.scdn.co/image/ab6761610000e5ebd19de1859567e3305f238758
Lin-Manuel Miranda,4aXXDj9aZnlshx7mzj3W1N,"broadway, show tunes",70,593429,https://open.spotify.com/artist/4aXXDj9aZnlshx7mzj3W1N,https://i.scdn.co/image/84dc87cca456089fc5cfa2d7593d9d960ca4553f
Beatless,3LomR1piS4aVys8KoC6W4r,,2,1011,https://open.spotify.com/artist/3LomR1piS4aVys8KoC6W4r,https://i.scdn.co/image/ab67616d0000b273df2a4efe22f5f432ee100d70
The Beatles Piano Covers,2HPX6LgKluE3jv3Q6ZKVyX,,4,26,https://open.spotify.com/artist/2HPX6LgKluE3jv3Q6ZKVyX,https://i.scdn.co/image/ab67616d0000b273a7f376fa90732288b854a491
The New Beatles,3vuYd8ifdPWL3TgjPXgfgF,,15,570,https://open.spotify.com/artist/3vuYd8ifdPWL3TgjPXgfgF,https://i.scdn.co/image/ab67616d0000b2737ba298d0366a41d713e9d847
Tony Sheridan,3muGwkg7cEbK52vzp76J38,british invasion,20,5627,https://open.spotify.com/artist/3muGwkg7cEbK52vzp76J38,https://i.scdn.co/image/ab67616d0000b273c8a2e6a6683c3e266184c6a7
The Beatles on Piano,4s0XGFVyR7iLaxdxbuKygy,,2,8,https://open.spotify.com/artist/4s0XGFVyR7iLaxdxbuKygy,https://i.scdn.co/image/ab67616d0000b27314f0e7eda7a5885bacb311f4
BEATLES 3BUTE,2RCsgowLSNZlHd719riE3j,,0,46,https://open.spotify.com/artist/2RCsgowLSNZlHd719riE3j,
The Beatles Recovered Band,0WQ4jRVGAgNcYI3PmKfcbu,fake,2,304,https://open.spotify.com/artist/0WQ4jRVGAgNcYI3PmKfcbu,
Beatless,2h8hIZELrQ63BTaptHrKTo,,0,158,https://open.spotify.com/artist/2h8hIZELrQ63BTaptHrKTo,https://i.scdn.co/image/ab6761610000e5ebd72a7f64225740ec4d9d0d52
Beatles Cordel,2MFiXGgVN5VkDHb9GSmblu,,4,842,https://open.spotify.com/artist/2MFiXGgVN5VkDHb9GSmblu,https://i.scdn.co/image/ab6761610000e5eb402301177c1489a244021690
I Hate The Beatles,5Pi3viYqawZx95Gan2dyC3,,3,2773,https://open.spotify.com/artist/5Pi3viYqawZx95Gan2dyC3,https://i.scdn.co/image/ab6761610000e5eb93f290ee7e61cff9b5dc0e49
The Tape-beatles,1UarLtyjvxGiRTsfFXxtnA,plunderphonics,1,1284,https://open.spotify.com/artist/1UarLtyjvxGiRTsfFXxtnA,https://i.scdn.co/image/ab67616d0000b27331b92eb842d2e80d7e4a3785
The Beatles Revival Band,3Jee0nDYfCqDBV98n5gLhY,,1,115,https://open.spotify.com/artist/3Jee0nDYfCqDBV98n5gLhY,
The Silver Beatles,5WTOPRu5W51m3TEU4BupIR,,4,197,https://open.spotify.com/artist/5WTOPRu5W51m3TEU4BupIR,https://i.scdn.co/image/ab67616d0000b273bf96cecb47be49ab7c85589f
BEATLESS,1tZC32jyBAeMKYhnyMvyxf,,0,157,https://open.spotify.com/artist/1tZC32jyBAeMKYhnyMvyxf,https://i.scdn.co/image/ab6761610000e5eb12241d76ecb8cf0bb5f27ed9
Beatless,2FzAxY7Uqnr32pF7L0nK3c,,0,762,https://open.spotify.com/artist/2FzAxY7Uqnr32pF7L0nK3c,https://i.scdn.co/image/ab67616d0000b273dc51c80e73910692dfbd1ac3
Beat Less,2Kgx2mfayviU0OnzyNB4Tt,,0,175,https://open.spotify.com/artist/2Kgx2mfayviU0OnzyNB4Tt,https://i.scdn.co/image/ab67616d0000b2734449744da1551e9f3726a0c3
Barack Obama with The Beatles Complete On Ukulele Community Choir,1c4dcJh2dBjZgPDLid6Cxl,,2,92,https://open.spotify.com/artist/1c4dcJh2dBjZgPDLid6Cxl,
Black Beatles Band,1HpvjW17wiKyFAWg7Ir63G,,1,104,https://open.spotify.com/artist/1HpvjW17wiKyFAWg7Ir63G,https://i.scdn.co/image/ab67616d0000b2736db1defcd0dc1b55f0cb4612
Black Beatles,5Y5NQUkrKFlx4B00ehJ8S9,,0,289,https://open.spotify.com/artist/5Y5NQUkrKFlx4B00ehJ8S9,
Dynasouls (Pinoy Beatles),4sTODuRht3QUgDRER8PC5y,,0,2,https://open.spotify.com/artist/4sTODuRht3QUgDRER8PC5y,https://i.scdn.co/image/ab67616d0000b273ec253e69992144894c4570e4
Lopez Beatles,2NUpOkMGBeKWAPI0Ckn6gx,,0,54,https://open.spotify.com/artist/2NUpOkMGBeKWAPI0Ckn6gx,https://i.scdn.co/image/ab67616d0000b2733ff5e00db0cbf663824888b8
Beatless Mastermind,7geU9iREjotpK1qFmFLFI3,,0,0,https://open.spotify.com/artist/7geU9iREjotpK1qFmFLFI3,https://i.scdn.co/image/ab67616d0000b2739291690682e87156dc91cd52
The Sex Beatles,4e8OA3QHzatg40g3Fbe4X1,,0,27,https://open.spotify.com/artist/4e8OA3QHzatg40g3Fbe4X1,https://i.scdn.co/image/ab6761610000e5eb77e9eb868d4d9f24d3480e60
Baun on Beatles,0MsUa83wiRpQwBtLMUhfMe,,1,101,https://open.spotify.com/artist/0MsUa83wiRpQwBtLMUhfMe,https://i.scdn.co/image/ab67616d0000b27312e1135d1451fdded5b18be8
Clube Big Beatles,6rZ3sgzE20ol5yx4o7WAao,,1,206,https://open.spotify.com/artist/6rZ3sgzE20ol5yx4o7WAao,https://i.scdn.co/image/ab67616d0000b273d1dd6c41055f28f1432879a9
Israel Filho & Forró Beatles,33b1KmOX7FpzOVMeDpz16I,,0,67,https://open.spotify.com/artist/33b1KmOX7FpzOVMeDpz16I,https://i.scdn.co/image/ab67616d0000b273e536b99175ccfc2c8fa9c2de
The Tijunana Beatles Cover Band,7ksuU2G5UFiLIQNqTVhUul,,0,6,https://open.spotify.com/artist/7ksuU2G5UFiLIQNqTVhUul,https://i.scdn.co/image/ab67616d0000b27329032bb869851c0e50e45a85
Paul Beatless,2dgwbBeeiImgXZLC3fqAs7,,0,0,https://open.spotify.com/artist/2dgwbBeeiImgXZLC3fqAs7,
